"","Province_State","Country_Region","Date","Confirmed","Deaths","Recovered"
"641","WI","US",2020-03-14,27,0,1
"642","MD","US",2020-03-14,26,0,0
"643","OH","US",2020-03-14,26,0,0
"644","MI","US",2020-03-14,25,0,0
"645","NC","US",2020-03-14,24,0,0
"646","CT","US",2020-03-14,22,0,0
"647","MN","US",2020-03-14,21,0,0
"648","NV","US",2020-03-14,21,0,0
"649","RI","US",2020-03-14,20,0,0
"650","SC","US",2020-03-14,19,0,0
"651","IA","US",2020-03-14,17,0,0
"652","IN","US",2020-03-14,16,0,0
"653","KY","US",2020-03-14,14,0,0
"654","NE","US",2020-03-14,14,0,0
"655","AZ","US",2020-03-14,12,0,1
"656","AR","US",2020-03-14,12,0,0
"657","DC","US",2020-03-14,10,0,0
"658","NM","US",2020-03-14,10,0,0
"659","UT","US",2020-03-14,10,0,0
"660","SD","US",2020-03-14,9,1,0
"661","KS","US",2020-03-14,8,1,0
"662","NH","US",2020-03-14,7,0,0
"663","AL","US",2020-03-14,6,0,0
"664","DE","US",2020-03-14,6,0,0
"665","MS","US",2020-03-14,6,0,0
"666","MT","US",2020-03-14,5,0,0
"667","VT","US",2020-03-14,5,0,0
"668","HI","US",2020-03-14,4,0,0
"669","MO","US",2020-03-14,4,0,0
"670","OK","US",2020-03-14,4,0,0
"671","ME","US",2020-03-14,3,0,0
"672","PR","US",2020-03-14,3,0,0
"673","ID","US",2020-03-14,2,0,0
"674","WY","US",2020-03-14,2,0,0
"675","ND","US",2020-03-14,1,0,0
"676","WV","US",2020-03-14,0,0,0
"677","NY","US",2020-03-15,732,3,0
"678","WA","US",2020-03-15,643,40,1
"679","CA","US",2020-03-15,426,6,6
"680","MA","US",2020-03-15,164,0,1
"681","FL","US",2020-03-15,115,4,0
"682","CO","US",2020-03-15,131,1,0
"683","GA","US",2020-03-15,99,1,0
"684","LA","US",2020-03-15,91,2,0
"685","NJ","US",2020-03-15,98,2,0
"686","IL","US",2020-03-15,93,0,2
"687","TX","US",2020-03-15,72,0,0
"688","PA","US",2020-03-15,66,0,0
"689","VA","US",2020-03-15,45,1,0
"690","OR","US",2020-03-15,36,1,0
"691","MN","US",2020-03-15,35,0,0
"692","MI","US",2020-03-15,33,0,0
"693","NC","US",2020-03-15,33,0,0
"694","TN","US",2020-03-15,39,0,0
"695","MD","US",2020-03-15,32,0,0
"696","OH","US",2020-03-15,37,0,0
"697","WI","US",2020-03-15,32,0,1
"698","CT","US",2020-03-15,24,0,0
"699","UT","US",2020-03-15,28,0,0
"700","NV","US",2020-03-15,24,0,0
"701","IN","US",2020-03-15,20,0,0
"702","RI","US",2020-03-15,20,0,0
"703","SC","US",2020-03-15,28,0,0
"704","IA","US",2020-03-15,18,0,0
"705","KY","US",2020-03-15,20,0,0
"706","NE","US",2020-03-15,17,0,0
"707","AR","US",2020-03-15,16,0,0
"708","DC","US",2020-03-15,16,0,0
"709","NM","US",2020-03-15,13,0,0
"710","AL","US",2020-03-15,12,0,0
"711","AZ","US",2020-03-15,13,0,1
"712","SD","US",2020-03-15,9,1,0
"713","KS","US",2020-03-15,8,1,0
"714","MT","US",2020-03-15,7,0,0
"715","NH","US",2020-03-15,13,0,0
"716","DE","US",2020-03-15,7,0,0
"717","HI","US",2020-03-15,6,0,0
"718","ME","US",2020-03-15,12,0,0
"719","MS","US",2020-03-15,10,0,0
"720","ID","US",2020-03-15,5,0,0
"721","MO","US",2020-03-15,5,0,0
"722","VT","US",2020-03-15,8,0,0
"723","OK","US",2020-03-15,7,0,0
"724","GU","US",2020-03-15,3,0,0
"725","PR","US",2020-03-15,5,0,0
"726","WY","US",2020-03-15,3,0,0
"727","AK","US",2020-03-15,1,0,0
"728","ND","US",2020-03-15,1,0,0
"729","WV","US",2020-03-15,0,0,0
"730","NY","US",2020-03-16,967,10,0
"731","WA","US",2020-03-16,904,48,1
